student_id,cluster
S1000,-1
S1001,-1
S1002,0
S1003,0
S1004,0
S1005,-1
S1006,0
S1007,0
S1008,0
S1009,0
S1011,0
S1012,0
S1013,0
S1014,0
S1015,0
S1016,0
S1017,0
S1018,0
S1019,0
S1020,0
S1021,0
S1022,0
S1023,0
S1024,0
S1025,0
S1026,0
S1027,0
S1028,0
S1029,0
S1030,0
S1031,0
S1032,0
S1034,0
S1035,0
S1036,0
S1037,-1
S1038,0
S1039,0
S1040,-1
S1041,0
S1042,0
S1043,0
S1044,0
S1045,0
S1046,0
S1048,0
S1049,0
S1050,0
S1051,0
S1052,0
S1053,0
S1054,0
S1055,0
S1056,0
S1057,0
S1058,0
S1059,0
S1060,0
S1061,0
S1062,0
S1063,0
S1064,0
S1065,0
S1066,0
S1067,0
S1068,0
S1069,0
S1070,0
S1071,-1
S1072,0
S1073,0
S1075,0
S1076,0
S1077,0
S1078,0
S1079,0
S1080,0
S1081,-1
S1082,0
S1083,0
S1084,0
S1085,0
S1086,0
S1087,0
S1088,0
S1089,0
S1090,0
S1091,0
S1092,-1
S1094,0
S1095,0
S1096,0
S1097,0
S1098,-1
S1099,0
S1101,0
S1103,0
S1104,0
S1105,0
S1106,0
S1108,0
S1109,0
S1110,0
S1111,0
S1112,0
S1113,0
S1114,0
S1118,0
S1119,0
S1120,0
S1121,0
S1122,-1
S1123,0
S1124,0
S1125,0
S1126,0
S1127,0
S1128,0
S1129,0
S1130,0
S1131,-1
S1132,0
S1133,0
S1134,0
S1135,0
S1136,0
S1137,0
S1138,0
S1139,0
S1140,0
S1141,0
S1142,0
S1144,0
S1146,0
S1147,0
S1148,0
S1150,0
S1151,0
S1152,0
S1154,0
S1155,0
S1156,0
S1157,0
S1158,0
S1159,0
S1160,0
S1161,0
S1162,0
S1163,0
S1164,0
S1165,0
S1166,0
S1167,0
S1168,0
S1169,0
S1170,-1
S1171,0
S1172,0
S1173,0
S1174,0
S1175,0
S1176,0
S1177,0
S1179,0
S1181,0
S1182,0
S1183,0
S1184,-1
S1185,0
S1186,0
S1187,0
S1188,0
S1189,0
S1190,0
S1191,0
S1192,0
S1193,0
S1194,0
S1195,0
S1196,0
S1197,0
S1198,0
S1199,0
S1200,0
S1201,0
S1203,0
S1204,0
S1205,0
S1206,0
S1207,0
S1208,0
S1209,0
S1210,0
S1211,0
S1212,0
S1213,0
S1215,0
S1216,0
S1217,0
S1218,0
S1219,0
S1220,1
S1221,0
S1222,0
S1223,0
S1224,0
S1225,0
S1226,0
S1227,0
S1228,0
S1229,0
S1230,0
S1231,0
S1232,0
S1233,0
S1234,0
S1235,0
S1236,0
S1237,0
S1238,0
S1239,0
S1240,0
S1241,0
S1242,0
S1243,0
S1244,0
S1245,0
S1246,0
S1247,0
S1248,0
S1249,1
S1250,0
S1251,0
S1252,1
S1253,-1
S1254,0
S1255,0
S1256,0
S1257,0
S1258,-1
S1259,0
S1260,0
S1262,0
S1263,0
S1264,0
S1265,0
S1266,-1
S1267,0
S1268,0
S1269,0
S1270,0
S1271,0
